index,name,desc,size,type,subtype,alignment,armor_class,hit_points,hit_dice,hit_points_roll,speed,strength,dexterity,constitution,intelligence,wisdom,charisma,proficiencies,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,senses,languages,challenge_rating,proficiency_bonus,xp,special_abilities,actions
air-elemental,Air Elemental,,Large,elemental,,neutral,15,90,12d10,12d10+24,,14,20,14,6,10,6,"","","lightning, thunder, bludgeoning, piercing, and slashing from nonmagical weapons",poison,"{""index"" => ""exhaustion"", ""name"" => ""Exhaustion"", ""url"" => ""/api/2014/conditions/exhaustion""}, {""index"" => ""grappled"", ""name"" => ""Grappled"", ""url"" => ""/api/2014/conditions/grappled""}, {""index"" => ""paralyzed"", ""name"" => ""Paralyzed"", ""url"" => ""/api/2014/conditions/paralyzed""}, {""index"" => ""petrified"", ""name"" => ""Petrified"", ""url"" => ""/api/2014/conditions/petrified""}, {""index"" => ""poisoned"", ""name"" => ""Poisoned"", ""url"" => ""/api/2014/conditions/poisoned""}, {""index"" => ""prone"", ""name"" => ""Prone"", ""url"" => ""/api/2014/conditions/prone""}, {""index"" => ""restrained"", ""name"" => ""Restrained"", ""url"" => ""/api/2014/conditions/restrained""}, {""index"" => ""unconscious"", ""name"" => ""Unconscious"", ""url"" => ""/api/2014/conditions/unconscious""}","{""darkvision"" => ""60 ft."", ""passive_perception"" => 10}",Auran,5,3,1800,The elemental can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing.,"Multiattack, Slam, Whirlwind"
ancient-black-dragon,Ancient Black Dragon,,Gargantuan,dragon,,chaotic evil,22,367,21d20,21d20+147,40 ft.,27,14,25,16,15,19,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Perception, Skill: Stealth","","",acid,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 26}","Common, Draconic",21,7,33000,"The dragon can breathe air and water., If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Acid Breath"
ancient-blue-dragon,Ancient Blue Dragon,,Gargantuan,dragon,,lawful evil,22,481,26d20,26d20+208,40 ft.,29,10,27,18,17,21,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Perception, Skill: Stealth","","",lightning,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 27}","Common, Draconic",23,7,50000,"If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Lightning Breath"
ancient-brass-dragon,Ancient Brass Dragon,,Gargantuan,dragon,,chaotic good,20,297,17d20,17d20+119,40 ft.,27,10,25,16,15,19,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: History, Skill: Perception, Skill: Persuasion, Skill: Stealth","","",fire,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 24}","Common, Draconic",20,6,25000,"If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Breath Weapons, Change Shape"
ancient-bronze-dragon,Ancient Bronze Dragon,,Gargantuan,dragon,,lawful good,22,444,24d20,24d20+192,40 ft.,29,10,27,18,17,21,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Insight, Skill: Perception, Skill: Stealth","","",lightning,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 27}","Common, Draconic",22,7,41000,"The dragon can breathe air and water., If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Breath Weapons, Change Shape"
ancient-copper-dragon,Ancient Copper Dragon,,Gargantuan,dragon,,chaotic good,21,350,20d20,20d20+140,40 ft.,27,12,25,20,17,19,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Deception, Skill: Perception, Skill: Stealth","","",acid,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 27}","Common, Draconic",21,7,33000,"If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Breath Weapons, Change Shape"
ancient-gold-dragon,Ancient Gold Dragon,,Gargantuan,dragon,,lawful good,22,546,28d20,28d20+252,40 ft.,30,14,29,18,17,28,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Insight, Skill: Perception, Skill: Persuasion, Skill: Stealth","","",fire,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 27}","Common, Draconic",24,7,62000,"The dragon can breathe air and water., If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Breath Weapons, Change Shape"
ancient-green-dragon,Ancient Green Dragon,,Gargantuan,dragon,,lawful evil,21,385,22d20,22d20+154,40 ft.,27,12,25,20,17,19,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Deception, Skill: Insight, Skill: Perception, Skill: Persuasion, Skill: Stealth","","",poison,"{""index"" => ""poisoned"", ""name"" => ""Poisoned"", ""url"" => ""/api/2014/conditions/poisoned""}","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 27}","Common, Draconic",22,7,41000,"The dragon can breathe air and water., If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Poison Breath"
ancient-red-dragon,Ancient Red Dragon,,Gargantuan,dragon,,chaotic evil,22,546,28d20,28d20+252,40 ft.,30,10,29,18,15,23,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Perception, Skill: Stealth","","",fire,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 26}","Common, Draconic",24,7,62000,"If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Fire Breath"
ancient-silver-dragon,Ancient Silver Dragon,,Gargantuan,dragon,,lawful good,22,487,25d20,25d20+225,40 ft.,30,10,29,18,15,23,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Arcana, Skill: History, Skill: Perception, Skill: Stealth","","",cold,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 26}","Common, Draconic",23,7,50000,"If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Breath Weapons, Change Shape"
ancient-white-dragon,Ancient White Dragon,,Gargantuan,dragon,,chaotic evil,20,333,18d20,18d20+144,40 ft.,26,10,26,10,13,14,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Perception, Skill: Stealth","","",cold,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 23}","Common, Draconic",20,6,25000,"The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doesn't cost it extra moment., If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Cold Breath"
androsphinx,Androsphinx,,Large,monstrosity,,lawful neutral,17,199,19d10,19d10+95,40 ft.,22,10,20,16,18,23,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: INT, Saving Throw: WIS, Skill: Arcana, Skill: Perception, Skill: Religion","","","psychic, bludgeoning, piercing, and slashing from nonmagical weapons","{""index"" => ""charmed"", ""name"" => ""Charmed"", ""url"" => ""/api/2014/conditions/charmed""}, {""index"" => ""frightened"", ""name"" => ""Frightened"", ""url"" => ""/api/2014/conditions/frightened""}","{""truesight"" => ""120 ft."", ""passive_perception"" => 20}","Common, Sphinx",17,6,18000,"The sphinx is immune to any effect that would sense its emotions or read its thoughts, as well as any divination spell that it refuses. Wisdom (Insight) checks made to ascertain the sphinx's intentions or sincerity have disadvantage., The sphinx's weapon attacks are magical., The sphinx is a 12th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 18, +10 to hit with spell attacks). It requires no material components to cast its spells. The sphinx has the following cleric spells prepared:

- Cantrips (at will): sacred flame, spare the dying, thaumaturgy
- 1st level (4 slots): command, detect evil and good, detect magic
- 2nd level (3 slots): lesser restoration, zone of truth
- 3rd level (3 slots): dispel magic, tongues
- 4th level (3 slots): banishment, freedom of movement
- 5th level (2 slots): flame strike, greater restoration
- 6th level (1 slot): heroes' feast","Multiattack, Claw, Roar"
animated-armor,Animated Armor,,Medium,construct,,unaligned,18,33,6d8,6d8+6,25 ft.,14,11,13,1,3,1,"","","","poison, psychic","{""index"" => ""blinded"", ""name"" => ""Blinded"", ""url"" => ""/api/2014/conditions/blinded""}, {""index"" => ""charmed"", ""name"" => ""Charmed"", ""url"" => ""/api/2014/conditions/charmed""}, {""index"" => ""deafened"", ""name"" => ""Deafened"", ""url"" => ""/api/2014/conditions/deafened""}, {""index"" => ""exhaustion"", ""name"" => ""Exhaustion"", ""url"" => ""/api/2014/conditions/exhaustion""}, {""index"" => ""frightened"", ""name"" => ""Frightened"", ""url"" => ""/api/2014/conditions/frightened""}, {""index"" => ""paralyzed"", ""name"" => ""Paralyzed"", ""url"" => ""/api/2014/conditions/paralyzed""}, {""index"" => ""petrified"", ""name"" => ""Petrified"", ""url"" => ""/api/2014/conditions/petrified""}, {""index"" => ""poisoned"", ""name"" => ""Poisoned"", ""url"" => ""/api/2014/conditions/poisoned""}","{""blindsight"" => ""60 ft. (blind beyond this radius)"", ""passive_perception"" => 6}","",1,2,200,"The armor is incapacitated while in the area of an antimagic field. If targeted by dispel magic, the armor must succeed on a Constitution saving throw against the caster's spell save DC or fall unconscious for 1 minute., While the armor remains motionless, it is indistinguishable from a normal suit of armor.","Multiattack, Slam"
ankheg,Ankheg,,Large,monstrosity,,unaligned,"14, 11",39,6d10,6d10+6,30 ft.,17,11,13,1,13,6,"","","","","","{""darkvision"" => ""60 ft."", ""tremorsense"" => ""60 ft."", ""passive_perception"" => 11}","",2,2,250,"Bite, Acid Spray"
ape,Ape,,Medium,beast,,unaligned,12,19,3d8,3d8+6,30 ft.,16,14,14,6,12,7,"Skill: Athletics, Skill: Perception","","","","","{""passive_perception"" => 13}","",0.5,2,100,"Multiattack, Fist, Rock"
archmage,Archmage,"Archmages are powerful (and usually quite old) spellcasters dedicated to the study of the arcane arts. Benevolent ones counsel kings and queens, while evil ones rule as tyrants and pursue lichdom. Those who are neither good nor evil sequester themselves in remote towers to practice their magic without interruption. 

An archmage typically has one or more apprentice mages, and an archmage’s abode has numerous magical wards and guardians to discourage interlopers.",Medium,humanoid,any race,any alignment,"12, 15",99,18d8,18d8+18,30 ft.,10,14,12,20,15,16,"Saving Throw: INT, Saving Throw: WIS, Skill: Arcana, Skill: History","","damage from spells, bludgeoning, piercing, and slashing from nonmagical attacks (from stoneskin)","","","{""passive_perception"" => 12}",any six languages,12,4,8400,"The archmage has advantage on saving throws against spells and other magical effects., The archmage is an 18th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 17, +9 to hit with spell attacks). The archmage can cast disguise self and invisibility at will and has the following wizard spells prepared:

- Cantrips (at will): fire bolt, light, mage hand, prestidigitation, shocking grasp
- 1st level (4 slots): detect magic, identify, mage armor*, magic missile
- 2nd level (3 slots): detect thoughts, mirror image, misty step
- 3rd level (3 slots): counterspell, fly, lightning bolt
- 4th level (3 slots): banishment, fire shield, stoneskin*
- 5th level (3 slots): cone of cold, scrying, wall of force
- 6th level (1 slot): globe of invulnerability
- 7th level (1 slot): teleport
- 8th level (1 slot): mind blank*
- 9th level (1 slot): time stop
* The archmage casts these spells on itself before combat.",Dagger
assassin,Assassin,"Trained in the use of poison, assassins are remorseless killers who work for nobles, guildmasters, sovereigns, and anyone else who can afford them.",Medium,humanoid,any race,any non-good alignment,15,78,12d8,12d8+24,30 ft.,11,16,14,13,11,10,"Saving Throw: DEX, Saving Throw: INT, Skill: Acrobatics, Skill: Deception, Skill: Perception, Skill: Stealth","",poison,"","","{""passive_perception"" => 13}",Thieves' cant plus any two languages,8,3,3900,"During its first turn, the assassin has advantage on attack rolls against any creature that hasn't taken a turn. Any hit the assassin scores against a surprised creature is a critical hit., If the assassin is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the assassin instead takes no damage if it succeeds on the saving throw, and only half damage if it fails., The assassin deals an extra 13 (4d6) damage when it hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 ft. of an ally of the assassin that isn't incapacitated and the assassin doesn't have disadvantage on the attack roll.","Multiattack, Shortsword, Light Crossbow"
awakened-shrub,Awakened Shrub,An awakened shrub is an ordinary shrub given sentience and mobility by the awaken spell or similar magic.,Small,plant,,unaligned,9,10,3d6,3d6,20 ft.,3,8,11,10,10,6,"",fire,piercing,"","","{""passive_perception"" => 10}",one language known by its creator,0,2,10,"While the shrub remains motionless, it is indistinguishable from a normal shrub.",Rake
awakened-tree,Awakened Tree,An awakened tree is an ordinary tree given sentience and mobility by the awaken spell or similar magic.,Huge,plant,,unaligned,13,59,7d12,7d12+14,20 ft.,19,6,15,10,10,7,"",fire,"bludgeoning, piercing","","","{""passive_perception"" => 10}",one language known by its creator,2,2,450,"While the tree remains motionless, it is indistinguishable from a normal tree.",Slam
axe-beak,Axe Beak,"An axe beak is a tall flightless bird with strong legs and a heavy, wedge-shaped beak. It has a nasty disposition and tends to attack any unfamiliar creature that wanders too close.",Large,beast,,unaligned,11,19,3d10,3d10+3,50 ft.,14,12,12,2,10,5,"","","","","","{""passive_perception"" => 10}","",0.25,2,50,Beak
azer,Azer,,Medium,elemental,,lawful neutral,"15, 17",39,6d8,6d8+12,30 ft.,17,12,15,12,13,10,Saving Throw: CON,"","","fire, poison","{""index"" => ""poisoned"", ""name"" => ""Poisoned"", ""url"" => ""/api/2014/conditions/poisoned""}","{""passive_perception"" => 11}",Ignan,2,2,450,"A creature that touches the azer or hits it with a melee attack while within 5 ft. of it takes 5 (1d10) fire damage., When the azer hits with a metal melee weapon, it deals an extra 3 (1d6) fire damage (included in the attack)., The azer sheds bright light in a 10-foot radius and dim light for an additional 10 ft..",Warhammer
baboon,Baboon,,Small,beast,,unaligned,12,3,1d6,1d6,30 ft.,8,14,11,4,12,6,"","","","","","{""passive_perception"" => 11}","",0,2,10,The baboon has advantage on an attack roll against a creature if at least one of the baboon's allies is within 5 ft. of the creature and the ally isn't incapacitated.,Bite
badger,Badger,,Tiny,beast,,unaligned,10,3,1d4,1d4+1,20 ft.,4,11,12,2,12,5,"","","","","","{""darkvision"" => ""30 ft."", ""passive_perception"" => 11}","",0,2,10,The badger has advantage on Wisdom (Perception) checks that rely on smell.,Bite
balor,Balor,,Huge,fiend,demon,chaotic evil,19,262,21d12,21d12+126,40 ft.,26,15,22,20,16,22,"Saving Throw: STR, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA","","cold, lightning, bludgeoning, piercing, and slashing from nonmagical weapons","fire, poison","{""index"" => ""poisoned"", ""name"" => ""Poisoned"", ""url"" => ""/api/2014/conditions/poisoned""}","{""truesight"" => ""120 ft."", ""passive_perception"" => 13}","Abyssal, telepathy 120 ft.",19,6,22000,"When the balor dies, it explodes, and each creature within 30 feet of it must make a DC 20 Dexterity saving throw, taking 70 (20d6) fire damage on a failed save, or half as much damage on a successful one. The explosion ignites flammable objects in that area that aren't being worn or carried, and it destroys the balor's weapons., At the start of each of the balor's turns, each creature within 5 feet of it takes 10 (3d6) fire damage, and flammable objects in the aura that aren't being worn or carried ignite. A creature that touches the balor or hits it with a melee attack while within 5 feet of it takes 10 (3d6) fire damage., The balor has advantage on saving throws against spells and other magical effects., The balor's weapon attacks are magical.","Multiattack, Longsword, Whip, Teleport"
bandit,Bandit,"**Bandits** rove in gangs and are sometimes led by thugs, veterans, or spellcasters. Not all bandits are evil. Oppression, drought, disease, or famine can often drive otherwise honest folk to a life of banditry.

**Pirates** are bandits of the high seas. They might be freebooters interested only in treasure and murder, or they might be privateers sanctioned by the crown to attack and plunder an enemy nation’s vessels.",Medium,humanoid,any race,any non-lawful alignment,12,11,2d8,2d8+2,30 ft.,11,12,12,10,10,10,"","","","","","{""passive_perception"" => 10}",any one language (usually Common),0.125,2,25,"Scimitar, Light Crossbow"
bandit-captain,Bandit Captain,"It takes a strong personality, ruthless cunning, and a silver tongue to keep a gang of bandits in line. The **bandit captain** has these qualities in spades.

In addition to managing a crew of selfish malcontents, the **pirate captain** is a variation of the bandit captain, with a ship to protect and command. To keep the crew in line, the captain must mete out rewards and punishment on a regular basis.

More than treasure, a bandit captain or pirate captain craves infamy. A prisoner who appeals to the captain’s vanity or ego is more likely to be treated fairly than a prisoner who does not or claims not to know anything of the captain’s colorful reputation.",Medium,humanoid,any race,any non-lawful alignment,15,65,10d8,10d8+20,30 ft.,15,16,14,14,11,14,"Saving Throw: STR, Saving Throw: DEX, Saving Throw: WIS, Skill: Athletics, Skill: Deception","","","","","{""passive_perception"" => 10}",any two languages,2,2,450,"Multiattack, Scimitar, Dagger"
barbed-devil,Barbed Devil,,Medium,fiend,devil,lawful evil,15,110,13d8,13d8+52,30 ft.,16,17,18,12,14,14,"Saving Throw: STR, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Deception, Skill: Insight, Skill: Perception","","cold, bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","fire, poison","{""index"" => ""poisoned"", ""name"" => ""Poisoned"", ""url"" => ""/api/2014/conditions/poisoned""}","{""darkvision"" => ""120 ft."", ""passive_perception"" => 18}","Infernal, telepathy 120 ft.",5,3,1800,"At the start of each of its turns, the barbed devil deals 5 (1d10) piercing damage to any creature grappling it., Magical darkness doesn't impede the devil's darkvision., The devil has advantage on saving throws against spells and other magical effects.","Multiattack, Claw, Tail, Hurl Flame"
basilisk,Basilisk,,Medium,monstrosity,,unaligned,12,52,8d8,8d8+16,20 ft.,16,8,15,2,8,7,"","","","","","{""darkvision"" => ""60 ft."", ""passive_perception"" => 9}","",3,2,700,"If a creature starts its turn within 30 ft. of the basilisk and the two of them can see each other, the basilisk can force the creature to make a DC 12 Constitution saving throw if the basilisk isn't incapacitated. On a failed save, the creature magically begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified until freed by the greater restoration spell or other magic.
A creature that isn't surprised can avert its eyes to avoid the saving throw at the start of its turn. If it does so, it can't see the basilisk until the start of its next turn, when it can avert its eyes again. If it looks at the basilisk in the meantime, it must immediately make the save.
If the basilisk sees its reflection within 30 ft. of it in bright light, it mistakes itself for a rival and targets itself with its gaze.",Bite
bat,Bat,,Tiny,beast,,unaligned,12,1,1d4,1d4-1,5 ft.,2,15,8,2,12,4,"","","","","","{""blindsight"" => ""60 ft."", ""passive_perception"" => 11}","",0,2,10,"The bat can't use its blindsight while deafened., The bat has advantage on Wisdom (Perception) checks that rely on hearing.",Bite
bearded-devil,Bearded Devil,,Medium,fiend,devil,lawful evil,13,52,8d8,8d8+16,30 ft.,16,15,15,9,11,11,"Saving Throw: STR, Saving Throw: CON, Saving Throw: WIS","","cold, bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","fire, poison","{""index"" => ""poisoned"", ""name"" => ""Poisoned"", ""url"" => ""/api/2014/conditions/poisoned""}","{""darkvision"" => ""120 ft."", ""passive_perception"" => 10}","Infernal, telepathy 120 ft.",3,2,700,"Magical darkness doesn't impede the devil's darkvision., The devil has advantage on saving throws against spells and other magical effects., The devil can't be frightened while it can see an allied creature within 30 feet of it.","Multiattack, Beard, Glaive"
behir,Behir,,Huge,monstrosity,,neutral evil,17,168,16d12,16d12+64,50 ft.,23,16,18,7,14,12,"Skill: Perception, Skill: Stealth","","",lightning,"","{""darkvision"" => ""90 ft."", ""passive_perception"" => 16}",Draconic,11,4,7200,"Multiattack, Bite, Constrict, Lightning Breath, Swallow"
berserker,Berserker,,Medium,humanoid,any race,any chaotic alignment,13,67,9d8,9d8+27,30 ft.,16,12,17,9,11,9,"","","","","","{""passive_perception"" => 10}",any one language (usually Common),2,2,450,"At the start of its turn, the berserker can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn.",Greataxe
